"country","iso2c","iso3c","year","status","lastupdated","gni_per_capita","gdp_per_capita","population","trade_gdp","region","capital","longitude","latitude","income","lending","high_income_threshold","running_var","treatment","running_var_centered"
"Afghanistan","AF","AFG",2018,"","2025-04-15",520,491.337221382603,36743039,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",12376,-11856,0,-11.856
"Afghanistan","AF","AFG",2023,"","2025-04-15",380,415.707417059086,41454761,67.2733432760503,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",14005,-13625,0,-13.625
"Afghanistan","AF","AFG",2022,"","2025-04-15",370,357.261152798144,40578842,72.8854696086536,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",13845,-13475,0,-13.475
"Afghanistan","AF","AFG",2019,"","2025-04-15",520,496.6025042585,37856121,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",12536,-12016,0,-12.016
"Afghanistan","AF","AFG",2020,"","2025-04-15",490,510.787063366811,39068979,46.7098945514103,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",12696,-12206,0,-12.206
"Afghanistan","AF","AFG",2021,"","2025-04-15",380,356.496214115892,40000412,51.4117163747271,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",13205,-12825,0,-12.825
"Albania","AL","ALB",2019,"","2025-04-15",5280,5460.42823730592,2854191,75.3821602848745,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",12536,-7256,0,-7.256
"Albania","AL","ALB",2020,"","2025-04-15",5320,5370.77862312929,2837849,59.5206994403142,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",12696,-7376,0,-7.376
"Albania","AL","ALB",2021,"","2025-04-15",6150,6413.28328605026,2811666,75.5903160937554,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",13205,-7055,0,-7.055
"Albania","AL","ALB",2022,"","2025-04-15",6820,6846.42614266044,2777689,84.6980639208685,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",13845,-7025,0,-7.025
"Albania","AL","ALB",2018,"","2025-04-15",4880,5365.48934672897,2866376,75.6940706898154,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",12376,-7496,0,-7.496
"Albania","AL","ALB",2023,"","2025-04-15",7680,8575.17113446213,2745972,82.4936845982876,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",14005,-6325,0,-6.325
"Algeria","DZ","DZA",2021,"","2025-04-15",4120,4160.55926736925,44761099,46.8370592599607,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD",13205,-9085,0,-9.085
"Algeria","DZ","DZA",2019,"","2025-04-15",4480,4468.45341883656,43294546,46.5068426081672,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD",12536,-8056,0,-8.056
"Algeria","DZ","DZA",2022,"","2025-04-15",4430,4961.55257664733,45477389,51.2023757404409,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD",13845,-9415,0,-9.415
"Algeria","DZ","DZA",2020,"","2025-04-15",4020,3743.5419522929,44042091,40.3897565625388,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD",12696,-8676,0,-8.676
"Algeria","DZ","DZA",2023,"","2025-04-15",4950,5364.02795022731,46164219,43.682914195572,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD",14005,-9055,0,-9.055
"Algeria","DZ","DZA",2018,"","2025-04-15",4450,4577.21029180491,42505035,52.4361676779223,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD",12376,-7926,0,-7.926
"Andorra","AD","AND",2020,"","2025-04-15",42450,37361.0900666982,77380,NA,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",12696,29754,1,29.754
"Andorra","AD","AND",2019,"","2025-04-15",46450,41257.8045846483,76474,NA,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",12536,33914,1,33.914
"Andorra","AD","AND",2021,"","2025-04-15",44720,42425.6996756291,78364,NA,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",13205,31515,1,31.515
"Andorra","AD","AND",2022,"","2025-04-15",50150,42414.0590092117,79705,NA,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",13845,36305,1,36.305
"Angola","AO","AGO",2023,"","2025-04-15",2120,2308.15976731274,36749906,67.0416886089289,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD",14005,-11885,0,-11.885
"Angola","AO","AGO",2021,"","2025-04-15",1640,1925.87466082167,34532429,74.4644985871074,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD",13205,-11565,0,-11.565
"Angola","AO","AGO",2020,"","2025-04-15",1680,1449.92286669308,33451132,65.9420289329872,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD",12696,-11016,0,-11.016
"Angola","AO","AGO",2022,"","2025-04-15",1870,2929.69445467272,35635029,69.6910705054094,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD",13845,-11975,0,-11.975
"Angola","AO","AGO",2019,"","2025-04-15",2110,2189.85571407618,32375632,57.8295381183036,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD",12536,-10426,0,-10.426
"Angola","AO","AGO",2018,"","2025-04-15",1970,2538.59139143371,31297155,66.3780133263399,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD",12376,-10406,0,-10.406
"Antigua and Barbuda","AG","ATG",2019,"","2025-04-15",18240,18884.3729680383,91364,137.625175755884,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD",12536,5704,1,5.704
"Antigua and Barbuda","AG","ATG",2023,"","2025-04-15",20200,21787.1017315914,93316,NA,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD",14005,6195,1,6.195
"Antigua and Barbuda","AG","ATG",2020,"","2025-04-15",15370,15360.4544160475,91846,94.3457201737921,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD",12696,2674,1,2.674
"Antigua and Barbuda","AG","ATG",2022,"","2025-04-15",18900,20117.7653310355,92840,117.630005076464,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD",13845,5055,1,5.055
"Antigua and Barbuda","AG","ATG",2018,"","2025-04-15",17460,18273.4270684912,90926,130.655152659419,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD",12376,5084,1,5.084
"Antigua and Barbuda","AG","ATG",2021,"","2025-04-15",16670,17340.3790692554,92349,101.122883462968,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD",13205,3465,1,3.465
"Argentina","AR","ARG",2020,"","2025-04-15",9040,8535.59938004389,45191965,30.203698807416,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",12696,-3656,0,-3.656
"Argentina","AR","ARG",2021,"","2025-04-15",10070,10738.0179223384,45312281,33.078689567466,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",13205,-3135,0,-3.135
"Argentina","AR","ARG",2019,"","2025-04-15",11210,9955.97478680428,44973465,32.6306150458499,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",12536,-1326,0,-1.326
"Argentina","AR","ARG",2018,"","2025-04-15",12390,11752.7998922979,44654882,30.7625359549926,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",12376,14,1,0.014
"Argentina","AR","ARG",2023,"","2025-04-15",12890,14187.4827252965,45538401,26.6405121334437,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",14005,-1115,0,-1.115
"Argentina","AR","ARG",2022,"","2025-04-15",11820,13935.6811110049,45407904,31.5477080051071,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",13845,-2025,0,-2.025
"Armenia","AM","ARM",2021,"","2025-04-15",4580,4685.17997128509,2962300,79.6698888228399,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD",13205,-8625,0,-8.625
"Armenia","AM","ARM",2019,"","2025-04-15",4650,4597.22887399548,2962500,96.1141541288708,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD",12536,-7886,0,-7.886
"Armenia","AM","ARM",2020,"","2025-04-15",4230,4268.68093304583,2961500,69.4888075396076,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD",12696,-8466,0,-8.466
"Armenia","AM","ARM",2023,"","2025-04-15",6780,8053.01066312345,2990900,119.714642963872,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD",14005,-7225,0,-7.225
"Armenia","AM","ARM",2018,"","2025-04-15",4220,4196.00562301769,2969000,92.473107021212,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD",12376,-8156,0,-8.156
"Armenia","AM","ARM",2022,"","2025-04-15",5680,6571.97445545099,2969200,101.41077826094,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD",13845,-8165,0,-8.165
"Aruba","AW","ABW",2022,"","2025-04-15",30590,30559.5335346581,107310,172.884171078304,"Latin America & Caribbean","Oranjestad","-70.0167","12.5167","High income","Not classified",13845,16745,1,16.745
"Aruba","AW","ABW",2021,"","2025-04-15",28020,27200.0610793969,107700,147.015576101595,"Latin America & Caribbean","Oranjestad","-70.0167","12.5167","High income","Not classified",13205,14815,1,14.815
"Aruba","AW","ABW",2023,"","2025-04-15",30120,33984.7906198041,107359,169.798282934344,"Latin America & Caribbean","Oranjestad","-70.0167","12.5167","High income","Not classified",14005,16115,1,16.115
"Aruba","AW","ABW",2020,"","2025-04-15",22220,22855.9323200761,108587,124.137265493419,"Latin America & Caribbean","Oranjestad","-70.0167","12.5167","High income","Not classified",12696,9524,1,9.524
"Aruba","AW","ABW",2019,"","2025-04-15",28720,31096.2050738676,109203,145.343572735289,"Latin America & Caribbean","Oranjestad","-70.0167","12.5167","High income","Not classified",12536,16184,1,16.184
