"country","iso2c","iso3c","year","status","lastupdated","gni_per_capita","gdp_per_capita","population","trade_gdp","region","capital","longitude","latitude","income","lending","high_income_threshold","running_var","treatment","running_var_centered"
"Albania","AL","ALB",2019,"","2025-04-15",5280,5460.42823730592,2854191,75.3821602848745,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",12536,-7256,0,-7.256
"Albania","AL","ALB",2020,"","2025-04-15",5320,5370.77862312929,2837849,59.5206994403142,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",12696,-7376,0,-7.376
"Albania","AL","ALB",2021,"","2025-04-15",6150,6413.28328605026,2811666,75.5903160937554,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",13205,-7055,0,-7.055
"Albania","AL","ALB",2022,"","2025-04-15",6820,6846.42614266044,2777689,84.6980639208685,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",13845,-7025,0,-7.025
"Albania","AL","ALB",2018,"","2025-04-15",4880,5365.48934672897,2866376,75.6940706898154,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",12376,-7496,0,-7.496
"Albania","AL","ALB",2023,"","2025-04-15",7680,8575.17113446213,2745972,82.4936845982876,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",14005,-6325,0,-6.325
"Algeria","DZ","DZA",2021,"","2025-04-15",4120,4160.55926736925,44761099,46.8370592599607,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD",13205,-9085,0,-9.085
"Algeria","DZ","DZA",2019,"","2025-04-15",4480,4468.45341883656,43294546,46.5068426081672,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD",12536,-8056,0,-8.056
"Algeria","DZ","DZA",2022,"","2025-04-15",4430,4961.55257664733,45477389,51.2023757404409,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD",13845,-9415,0,-9.415
"Algeria","DZ","DZA",2020,"","2025-04-15",4020,3743.5419522929,44042091,40.3897565625388,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD",12696,-8676,0,-8.676
"Algeria","DZ","DZA",2023,"","2025-04-15",4950,5364.02795022731,46164219,43.682914195572,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD",14005,-9055,0,-9.055
"Algeria","DZ","DZA",2018,"","2025-04-15",4450,4577.21029180491,42505035,52.4361676779223,"Middle East & North Africa","Algiers","3.05097","36.7397","Upper middle income","IBRD",12376,-7926,0,-7.926
"Antigua and Barbuda","AG","ATG",2019,"","2025-04-15",18240,18884.3729680383,91364,137.625175755884,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD",12536,5704,1,5.704
"Antigua and Barbuda","AG","ATG",2023,"","2025-04-15",20200,21787.1017315914,93316,NA,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD",14005,6195,1,6.195
"Antigua and Barbuda","AG","ATG",2020,"","2025-04-15",15370,15360.4544160475,91846,94.3457201737921,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD",12696,2674,1,2.674
"Antigua and Barbuda","AG","ATG",2022,"","2025-04-15",18900,20117.7653310355,92840,117.630005076464,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD",13845,5055,1,5.055
"Antigua and Barbuda","AG","ATG",2018,"","2025-04-15",17460,18273.4270684912,90926,130.655152659419,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD",12376,5084,1,5.084
"Antigua and Barbuda","AG","ATG",2021,"","2025-04-15",16670,17340.3790692554,92349,101.122883462968,"Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD",13205,3465,1,3.465
"Argentina","AR","ARG",2020,"","2025-04-15",9040,8535.59938004389,45191965,30.203698807416,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",12696,-3656,0,-3.656
"Argentina","AR","ARG",2021,"","2025-04-15",10070,10738.0179223384,45312281,33.078689567466,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",13205,-3135,0,-3.135
"Argentina","AR","ARG",2019,"","2025-04-15",11210,9955.97478680428,44973465,32.6306150458499,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",12536,-1326,0,-1.326
"Argentina","AR","ARG",2018,"","2025-04-15",12390,11752.7998922979,44654882,30.7625359549926,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",12376,14,1,0.014
"Argentina","AR","ARG",2023,"","2025-04-15",12890,14187.4827252965,45538401,26.6405121334437,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",14005,-1115,0,-1.115
"Argentina","AR","ARG",2022,"","2025-04-15",11820,13935.6811110049,45407904,31.5477080051071,"Latin America & Caribbean","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",13845,-2025,0,-2.025
"Armenia","AM","ARM",2021,"","2025-04-15",4580,4685.17997128509,2962300,79.6698888228399,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD",13205,-8625,0,-8.625
"Armenia","AM","ARM",2019,"","2025-04-15",4650,4597.22887399548,2962500,96.1141541288708,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD",12536,-7886,0,-7.886
"Armenia","AM","ARM",2020,"","2025-04-15",4230,4268.68093304583,2961500,69.4888075396076,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD",12696,-8466,0,-8.466
"Armenia","AM","ARM",2023,"","2025-04-15",6780,8053.01066312345,2990900,119.714642963872,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD",14005,-7225,0,-7.225
"Armenia","AM","ARM",2018,"","2025-04-15",4220,4196.00562301769,2969000,92.473107021212,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD",12376,-8156,0,-8.156
"Armenia","AM","ARM",2022,"","2025-04-15",5680,6571.97445545099,2969200,101.41077826094,"Europe & Central Asia","Yerevan","44.509","40.1596","Upper middle income","IBRD",13845,-8165,0,-8.165
"Aruba","AW","ABW",2020,"","2025-04-15",22220,22855.9323200761,108587,124.137265493419,"Latin America & Caribbean","Oranjestad","-70.0167","12.5167","High income","Not classified",12696,9524,1,9.524
"Azerbaijan","AZ","AZE",2018,"","2025-04-15",4080,4739.7943123408,9939771,91.6725765369825,"Europe & Central Asia","Baku","49.8932","40.3834","Upper middle income","IBRD",12376,-8296,0,-8.296
"Azerbaijan","AZ","AZE",2019,"","2025-04-15",4510,4805.75371765917,10024283,85.8181454084561,"Europe & Central Asia","Baku","49.8932","40.3834","Upper middle income","IBRD",12536,-8026,0,-8.026
"Azerbaijan","AZ","AZE",2021,"","2025-04-15",4910,5408.04535175023,10137750,76.286865687015,"Europe & Central Asia","Baku","49.8932","40.3834","Upper middle income","IBRD",13205,-8295,0,-8.295
"Azerbaijan","AZ","AZE",2023,"","2025-04-15",6660,7125.90858368611,10153958,83.6193503542524,"Europe & Central Asia","Baku","49.8932","40.3834","Upper middle income","IBRD",14005,-7345,0,-7.345
"Azerbaijan","AZ","AZE",2020,"","2025-04-15",4480,4229.91064904503,10093121,72.0178676487811,"Europe & Central Asia","Baku","49.8932","40.3834","Upper middle income","IBRD",12696,-8216,0,-8.216
"Azerbaijan","AZ","AZE",2022,"","2025-04-15",5670,7770.594223351,10141756,86.9822732541779,"Europe & Central Asia","Baku","49.8932","40.3834","Upper middle income","IBRD",13845,-8175,0,-8.175
"Barbados","BB","BRB",2021,"","2025-04-15",18320,18696.7858952957,282147,NA,"Latin America & Caribbean","Bridgetown","-59.6105","13.0935","High income","IBRD",13205,5115,1,5.115
"Barbados","BB","BRB",2022,"","2025-04-15",22290,22164.0260273876,282318,NA,"Latin America & Caribbean","Bridgetown","-59.6105","13.0935","High income","IBRD",13845,8445,1,8.445
"Barbados","BB","BRB",2020,"","2025-04-15",17610,18347.1109131055,281698,NA,"Latin America & Caribbean","Bridgetown","-59.6105","13.0935","High income","IBRD",12696,4914,1,4.914
"Barbados","BB","BRB",2019,"","2025-04-15",19490,20583.7265786414,281207,NA,"Latin America & Caribbean","Bridgetown","-59.6105","13.0935","High income","IBRD",12536,6954,1,6.954
"Barbados","BB","BRB",2023,"","2025-04-15",22870,23804.0249914995,282336,NA,"Latin America & Caribbean","Bridgetown","-59.6105","13.0935","High income","IBRD",14005,8865,1,8.865
"Barbados","BB","BRB",2018,"","2025-04-15",18820,20055.915870771,280711,NA,"Latin America & Caribbean","Bridgetown","-59.6105","13.0935","High income","IBRD",12376,6444,1,6.444
"Belarus","BY","BLR",2019,"","2025-04-15",6370,6837.76832136779,9419758,130.850132114123,"Europe & Central Asia","Minsk","27.5766","53.9678","Upper middle income","IBRD",12536,-6166,0,-6.166
"Belarus","BY","BLR",2018,"","2025-04-15",5730,6360.05310087258,9438785,139.393394375409,"Europe & Central Asia","Minsk","27.5766","53.9678","Upper middle income","IBRD",12376,-6646,0,-6.646
"Belarus","BY","BLR",2023,"","2025-04-15",7790,7829.05313660622,9178298,132.998797317727,"Europe & Central Asia","Minsk","27.5766","53.9678","Upper middle income","IBRD",14005,-6215,0,-6.215
"Belarus","BY","BLR",2020,"","2025-04-15",6410,6542.8645398436,9379952,118.933883690331,"Europe & Central Asia","Minsk","27.5766","53.9678","Upper middle income","IBRD",12696,-6286,0,-6.286
"Belarus","BY","BLR",2021,"","2025-04-15",7040,7489.71894713888,9302585,136.014450556595,"Europe & Central Asia","Minsk","27.5766","53.9678","Upper middle income","IBRD",13205,-6165,0,-6.165
"Belarus","BY","BLR",2022,"","2025-04-15",7210,7994.64806074889,9228071,120.024207576094,"Europe & Central Asia","Minsk","27.5766","53.9678","Upper middle income","IBRD",13845,-6635,0,-6.635
"Belize","BZ","BLZ",2021,"","2025-04-15",6090,6122.61158580079,395346,99.3162710954122,"Latin America & Caribbean","Belmopan","-88.7713","17.2534","Upper middle income","Blend",13205,-7115,0,-7.115
"Belize","BZ","BLZ",2019,"","2025-04-15",5870,6190.04792278445,385829,102.122848888331,"Latin America & Caribbean","Belmopan","-88.7713","17.2534","Upper middle income","Blend",12536,-6666,0,-6.666
"Belize","BZ","BLZ",2020,"","2025-04-15",5170,5227.19363786168,390812,81.821964412463,"Latin America & Caribbean","Belmopan","-88.7713","17.2534","Upper middle income","Blend",12696,-7526,0,-7.526
"Belize","BZ","BLZ",2018,"","2025-04-15",5630,6031.28139580144,380226,100.664995094298,"Latin America & Caribbean","Belmopan","-88.7713","17.2534","Upper middle income","Blend",12376,-6746,0,-6.746
"Belize","BZ","BLZ",2022,"","2025-04-15",6710,7068.45478269722,402733,108.52917413145,"Latin America & Caribbean","Belmopan","-88.7713","17.2534","Upper middle income","Blend",13845,-7135,0,-7.135
"Belize","BZ","BLZ",2023,"","2025-04-15",6890,7459.99815132837,411106,106.531755710256,"Latin America & Caribbean","Belmopan","-88.7713","17.2534","Upper middle income","Blend",14005,-7115,0,-7.115
"Bhutan","BT","BTN",2018,"","2025-04-15",3150,3400.20417159422,759759,79.7397203478125,"South Asia","Thimphu","89.6177","27.5768","Lower middle income","IDA",12376,-9226,0,-9.226
