"country","iso2c","iso3c","year","status","lastupdated","gni_per_capita","gdp_per_capita","population","trade_gdp","region","capital","longitude","latitude","income","lending"
"Afghanistan","AF","AFG",2018,"","2025-04-15",520,491.337221382603,36743039,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2023,"","2025-04-15",380,415.707417059086,41454761,67.2733432760503,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2022,"","2025-04-15",370,357.261152798144,40578842,72.8854696086536,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2019,"","2025-04-15",520,496.6025042585,37856121,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2020,"","2025-04-15",490,510.787063366811,39068979,46.7098945514103,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2021,"","2025-04-15",380,356.496214115892,40000412,51.4117163747271,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Africa Eastern and Southern","ZH","AFE",2019,"","2025-04-15",1489.69343564224,1493.78044490037,675950189,52.4606899012176,"Aggregates","","","","Aggregates","Aggregates"
"Africa Eastern and Southern","ZH","AFE",2020,"","2025-04-15",1381.20287580143,1344.08096192004,694446100,50.2653259252077,"Aggregates","","","","Aggregates","Aggregates"
"Africa Eastern and Southern","ZH","AFE",2023,"","2025-04-15",1579.92493216831,1659.51529015376,750503764,56.8723924609556,"Aggregates","","","","Aggregates","Aggregates"
"Africa Eastern and Southern","ZH","AFE",2018,"","2025-04-15",1426.99411529469,1538.92418773564,657801085,55.4297878044482,"Aggregates","","","","Aggregates","Aggregates"
"Africa Eastern and Southern","ZH","AFE",2022,"","2025-04-15",1534.02714441288,1628.02452570959,731821393,58.5361627735347,"Aggregates","","","","Aggregates","Aggregates"
"Africa Eastern and Southern","ZH","AFE",2021,"","2025-04-15",1451.60989995895,1522.59008804972,713090928,55.5623957956905,"Aggregates","","","","Aggregates","Aggregates"
